"","Data.Collector","Year","Plot","Mulch","Planted.guild","Category","QuadLocation","Mowing.treatment","Exo.grass","Exo.forb","nat.grass","nat.forb","total.cover","r.exo.grass","r.exo.forb","r.nat.grass","r.nat.forb"
"1","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Out","Unmowed",4,22.5,0,42.5,91.5,4.37158469945355,24.5901639344262,0,46.448087431694
"2","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Out","Mowed",7.5,52.5,7.5,0,95,7.89473684210526,55.2631578947368,7.89473684210526,0
"3","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Edge","Mowed",17.5,82.5,0,0,100,17.5,82.5,0,0
"4","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Out","Mowed",0,1,0,87.5,101,0,0.99009900990099,0,86.6336633663366
"5","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Edge","Mowed",0,2,0,92.5,102,0,1.96078431372549,0,90.6862745098039
"6","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Island","Unmowed",1,3,7.5,0,104,0.961538461538462,2.88461538461538,7.21153846153846,0
"7","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Edge","Mowed",2,32.5,0,57.5,104.5,1.91387559808612,31.1004784688995,0,55.0239234449761
"8","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Island","Mowed",57.5,27.5,12.5,0,105,54.7619047619048,26.1904761904762,11.9047619047619,0
"9","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Island","Mowed",1,0,0,92.5,106,0.943396226415094,0,0,87.2641509433962
"10","JosieJoia","2018","1 CIM","Mulch","Forb","Island Mulched","Island","Unmowed",0,0,0,99.5,107,0,0,0,92.9906542056075
"11","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Out","Unmowed",3,62.5,0,0,108,2.77777777777778,57.8703703703704,0,0
"12","JosieJoia","2018","1 CIM","Mulch","Grass","Island Mulched","Edge","Unmowed",3,42.5,1,0,109,2.75229357798165,38.9908256880734,0.917431192660551,0
