"","Year","Data.Collector","Plot","ID","Mulch","Planted.guild","Category","Mowing.treatment","Planting.Type","QuadLocation","Exo.grass","Exo.forb","nat.grass","nat.forb","Bro.car","Sti.pul","Hor.bra","Gri.str","Ach.mil","Sym.chi","Jun.pat"
"1","2015","Schreiber",1,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Edge",62.5,37.5,0,32.5,0,0,0,0,0,32.5,0
"2","2015","Schreiber",1,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Edge",22.5,12.5,0,72.5,0,0,0,72.5,0,0,0
"3","2015","Schreiber",1,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Edge",92.5,37.5,0,0,0,0,0,0,0,0,0
"4","2015","Schreiber",1,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Edge",42.5,47.5,4,0,4,0,0,0,0,0,0
"5","2015","Schreiber",1,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Edge",82.5,57.5,0,22.5,0,0,0,22.5,0,0,0
"6","2015","Schreiber",1,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Edge",82.5,22.5,0,70,0,0,0,22.5,47.5,0,0
"7","2015","Schreiber",1,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Edge",62.5,17.5,62.5,0,0,0,62.5,0,0,0,0
"8","2015","Schreiber",1,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Edge",27.5,37.5,60,0,42.5,0,17.5,0,0,0,0
"9","2015","Schreiber",1,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Island",57.5,57.5,0,17.5,0,0,0,0,0,17.5,0
"10","2015","Schreiber",1,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Island",12.5,12.5,0,105,0,0,0,72.5,32.5,0,0
"11","2015","Schreiber",1,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Island",57.5,32.5,30,0,7.5,0,22.5,0,0,0,0
"12","2015","Schreiber",1,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Island",37.5,32.5,65.5,0,3,0,62.5,0,0,0,0
"13","2015","Schreiber",1,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Island",72.5,27.5,0,70,0,0,0,32.5,37.5,0,0
"14","2015","Schreiber",1,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Island",32.5,2.5,0,130,0,0,0,72.5,57.5,0,0
"15","2015","Schreiber",1,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Island",100,2.5,3,0,0,0,3,0,0,0,0
"16","2015","Schreiber",1,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Island",32.5,22.5,85,0,57.5,0,27.5,0,0,0,0
"17","2015","Schreiber",1,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Out",72.5,17.5,0,27.5,0,0,0,0,27.5,0,0
"18","2015","Schreiber",1,"CIM","Mulch","Forb","Island Mulch","Unmowed","Island","Out",52.5,67.5,0,0,0,0,0,0,0,0,0
"19","2015","Schreiber",1,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Out",87.5,12.5,7.5,0,7.5,0,0,0,0,0,0
"20","2015","Schreiber",1,"CIM","Mulch","Grass","Island Mulch","Unmowed","Island","Out",97.5,7.5,0,0,0,0,0,0,0,0,0
"21","2015","Schreiber",1,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Out",92.5,47.5,0,0,0,0,0,0,0,0,0
"22","2015","Schreiber",1,"CIM","Mulch","Forb","Island Mulch","Mowed","Island","Out",47.5,47.5,0,22.5,0,0,0,0,0,22.5,0
"23","2015","Schreiber",1,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Out",97.5,42.5,0,0,0,0,0,0,0,0,0
"24","2015","Schreiber",1,"CIM","Mulch","Grass","Island Mulch","Mowed","Island","Out",100,27.5,0,0,0,0,0,0,0,0,0
"25","2015","Schreiber",2,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",22.5,37.5,0,65,0,0,0,0,7.5,57.5,0
"26","2015","Schreiber",2,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",92.5,57.5,0,1,0,0,0,0,1,0,0
"27","2015","Schreiber",2,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",27.5,7.5,0,82,0,0,0,12.5,67.5,2,0
"28","2015","Schreiber",2,"CFM","Mulch","Forb","Full Mulch","Unmowed","Full","Full",77.5,17.5,0,82.5,0,0,0,82.5,0,0,0
"29","2015","Schreiber",2,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",52.5,52.5,52.5,0,17.5,22.5,12.5,0,0,0,0
"30","2015","Schreiber",2,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",32.5,47.5,53,0,42.5,3,7.5,0,0,0,0
"31","2015","Schreiber",2,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",62.5,32.5,47.5,0,27.5,12.5,7.5,0,0,0,0
"32","2015","Schreiber",2,"CFM","Mulch","Grass","Full Mulch","Unmowed","Full","Full",22.5,12.5,87.5,0,57.5,12.5,17.5,0,0,0,0
"33","2015","Schreiber",2,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",17.5,52.5,0,60,0,0,0,52.5,0,7.5,0
"34","2015","Schreiber",2,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",32.5,22.5,0,75,0,0,0,62.5,0,12.5,0
"35","2015","Schreiber",2,"CFM","Mulch","Forb","Full Mulch","Mowed","Full","Full",12.5,97.5,0,55,0,0,0,37.5,0,17.5,0
